frame,divergence_max,divergence_rms,kinetic_energy,vorticity,measured_cells,mass,mass_inside,centroid_m,top_m,outflow_rate
1,0.0000022239837562665343,0.0000004841945909538142,0.0000000137053380495334,0.00006675911835406502,736,0.0014042982983625016,0.0014042982983625016,0.29992022907988286,0.453125,0
2,0.000002253048961620152,0.0000004856341974791869,0.0000001249133089128563,0.0002143678050903587,748,0.002808596642950377,0.002808596642950377,0.3000052935918026,0.453125,0
3,0.0000022799282106689134,0.0000004872611491505088,0.0000004997647814201491,0.0004282308584239326,748,0.004212894715197068,0.004212894715197068,0.30016996290739306,0.453125,0
4,0.000002362881573958475,0.0000004959641174203686,0.0000014593460551515283,0.0009902683180426487,800,0.005617193073803148,0.005617193073803148,0.300440277920975,0.453125,0
5,0.0000024917256666867615,0.0000005028657607709848,0.000003377904758495245,0.001984045380694167,848,0.007021491261508353,0.007021491261508353,0.30084058689862925,0.453125,0
6,0.0000026180915995155374,0.000000494540421819878,0.000006678282148080245,0.0031111069061798185,872,0.008425790088093833,0.008425790088093833,0.30139853407200545,0.453125,0
7,0.00000271180068978083,0.0000004916578938842742,0.000011993961814303114,0.004402082815760601,892,0.009830088456321258,0.009830088456321258,0.302140612415251,0.453125,0
8,0.000003082865177361782,0.0000005276308922498726,0.00002037300860830593,0.0067616819736573885,940,0.01123438783693731,0.01123438783693731,0.30308354409190347,0.453125,0
9,0.000003283901051531757,0.0000005219084574093159,0.00003221534976528669,0.009301512895339136,972,0.012638687056935634,0.012638687056935634,0.30427005837173554,0.453125,0
10,0.000003461098074808433,0.0000005399868727129153,0.00004872583657622916,0.012113407941386833,1004,0.014042985121311588,0.014042985121311588,0.30572247120124674,0.453125,0
11,0.0000036774679301743163,0.0000005678638332666258,0.00007134502555111243,0.01567344303913743,1048,0.015447284076957784,0.015447284076957784,0.30747460084776523,0.453125,0
12,0.0000036116070845082504,0.0000006302045227706864,0.00010217708095206685,0.0204985980057165,1120,0.016851581518550176,0.016851581518550176,0.3095102880541302,0.453125,0
13,0.000004349429246985892,0.0000006930452657464674,0.000138610862949715,0.02488784142447711,1136,0.018255877359917155,0.018255877359917155,0.3118800153381808,0.453125,0
14,0.000004851620474255469,0.0000008049270606931034,0.00018689143337804264,0.02961121256683143,1168,0.01966017691701751,0.01966017691701751,0.31460656790177877,0.453125,0
15,0.000005975864326046576,0.0000009029178582874755,0.00024745441747625293,0.03533971165396194,1216,0.02106447710240454,0.02106447710240454,0.31774239881273686,0.453125,0
16,0.000007402715652915504,0.0000009953552644633234,0.000322100968400218,0.042281934724666674,1280,0.022468777354357105,0.022468777354357105,0.3213238459269612,0.453125,0
17,0.000007857472951400268,0.0000011647256971179383,0.0004142057147519484,0.049836002656474226,1332,0.023873079165762694,0.023873079165762694,0.3254032071390211,0.484375,0
18,0.000007675551046304463,0.000001307991640305624,0.000527595666515691,0.0585051163993693,1396,0.025277379170884417,0.025277379170884417,0.33000628459576686,0.484375,0
19,0.000008046429400110355,0.0000015336548712828604,0.0006587973314842541,0.06612689010922793,1444,0.026681677345325783,0.026681677345325783,0.33519812497597345,0.484375,0
20,0.000012027999673591694,0.0000017067912802599093,0.0008146817375615113,0.07244285893922507,1476,0.02808597593921718,0.02808597593921718,0.34093466086401675,0.484375,0
21,0.000012810096052362496,0.0000018579259522026367,0.0009968819512730276,0.08029289665339981,1548,0.029490279201711444,0.029490279201711444,0.347334036101062,0.484375,0
22,0.000016656316574881203,0.000002155093652967268,0.0011937341265417392,0.09055770410520306,1612,0.030894577559398752,0.030894577559398752,0.35439878357986254,0.515625,0
23,0.00001500188614045328,0.000002476386016533384,0.0014345942633026067,0.10430008314788393,1660,0.03229887696043472,0.03229887696043472,0.3621358382231418,0.515625,0
24,0.000019294595631436096,0.0000027708885030123717,0.0017112524548024907,0.11951162244891828,1744,0.03370317497178842,0.03370317497178842,0.3705447284574745,0.515625,0
25,0.000029408146929199575,0.0000032909008074060597,0.002028104148281282,0.1362466242298605,1808,0.03510747006535354,0.03510747006535354,0.37959156080449735,0.515625,0
26,0.00003148522591800429,0.0000037532501961986787,0.0024007976436027176,0.15169436111502646,1896,0.03651177279856199,0.03651177279856199,0.38924276640555094,0.546875,0
27,0.000027623878622762277,0.000004125859258707082,0.002798296363614793,0.1655056142462781,1952,0.03791607428644043,0.03791607428644043,0.39947634331346327,0.546875,0
28,0.00003660398328975134,0.000004779389413588838,0.0032223099665844835,0.18094963720347548,2052,0.03932037343040169,0.03932037343040169,0.4102782429544188,0.578125,0
29,0.00004381856524560135,0.000005810286656790893,0.0036944941509716163,0.20000116996808348,2116,0.04072467202057343,0.04072467202057343,0.4215810293857105,0.578125,0
30,0.00004787959005625453,0.0000058997137418788265,0.004182053406559111,0.21661207867408802,2168,0.042128977714273166,0.042128977714273166,0.43331094937203957,0.578125,0
31,0.00006394334150172654,0.000007891735959407064,0.004758926879836613,0.23474206553002183,2256,0.04353327185903431,0.04353327185903431,0.4454179561919138,0.609375,0
32,0.00005780183028036845,0.000008111202737457584,0.005354429915020133,0.25858348731088976,2344,0.044937572358653234,0.044937572358653234,0.45792659336638863,0.609375,0
33,0.00006408342915165122,0.000010341884678733296,0.005892039734314115,0.26835841779951924,2416,0.046341879550253005,0.046341879550253005,0.4707067099772298,0.640625,0
34,0.00007505785879402538,0.000010812438420605356,0.0065639601537054405,0.2917823011917557,2504,0.04774618367050492,0.04774618367050492,0.48374506621589,0.640625,0
35,0.00008830116257740883,0.000012623061325750785,0.00718374238850878,0.30780618782504127,2580,0.04915048095205888,0.04915048095205888,0.49696221360697385,0.671875,0
36,0.00007907345116109354,0.000012229518492121458,0.007858203665460061,0.3266848028875413,2624,0.050554779139738076,0.050554779139738076,0.510348175575308,0.671875,0
37,0.00006738056799804326,0.000014513552948504111,0.008543729222781888,0.34015818359240513,2720,0.05195907810880617,0.05195907810880617,0.5237270528070875,0.703125,0
38,0.00008613023692305433,0.0000149942308848519,0.009081592428910644,0.35955379815189625,2764,0.05336337933592262,0.05336337933592262,0.5370767107316974,0.703125,0
39,0.0000869703490025131,0.000014879309139973704,0.009895561704706474,0.37503426897695813,2856,0.0547676772349196,0.0547676772349196,0.5502930201882246,0.734375,0
40,0.00005973084262222983,0.000015445562153357676,0.0103565347123851,0.38417168943584545,2896,0.05617198004987982,0.05617198004987982,0.5632115694769164,0.765625,0
41,0.00006948042118892772,0.000014147460991508233,0.01114426286201151,0.40679681939806583,2984,0.057576276616021535,0.057576276616021535,0.5759972425513531,0.765625,0
42,0.00008630752563476563,0.000014255125497212692,0.011472231295482404,0.41101349227860895,3008,0.058980571276192495,0.058980571276192495,0.5884511975507831,0.796875,0
43,0.00005507469177246094,0.000014461262374647637,0.012432117187352095,0.44493244170916524,3136,0.060384866958759026,0.060384866958759026,0.6006283500608813,0.796875,0
44,0.00005671528697348549,0.00001475424383113265,0.012677327528916435,0.4424775063210512,3124,0.0617891747282928,0.0617891747282928,0.6124763929655886,0.828125,0
45,0.00008399417129112408,0.000015168803257523123,0.013068821414813716,0.45475870725649636,3168,0.06319346665538618,0.06319346665538618,0.6239476466848833,0.859375,0
46,0.00009453296661376953,0.000015587683772654093,0.014100429643581889,0.4789643284160858,3332,0.06459776123182585,0.06459776123182585,0.6351793901006106,0.859375,0
47,0.00009489059448242188,0.000015568225629047463,0.014323092943632583,0.49161552755789684,3408,0.06600206051147736,0.06600206051147736,0.6461521817926478,0.890625,0
48,0.0001046619686349004,0.00001737303643020017,0.014735038475084386,0.5049192991748213,3452,0.06740635934711313,0.06740635934711313,0.6568264120345574,0.921875,0
49,0.00011992001782346051,0.000017923899368237505,0.015034038862978693,0.5163061066536652,3496,0.06881065747556034,0.06881065747556034,0.6673727163739861,0.921875,0
50,0.00014052022379473783,0.000018645457007806193,0.015989414748911853,0.5390376037970788,3596,0.0702149540962715,0.0702149540962715,0.6777931774481493,0.953125,0
51,0.00010522314266836474,0.000019983618998888728,0.015932226274886146,0.5515227875354763,3692,0.07161926025359025,0.07161926025359025,0.6880399300760278,0.984375,0
52,0.00012929335480293958,0.000019616569029030167,0.01626640669424211,0.5598467640993647,3752,0.07302356948730204,0.07302356948730204,0.6981806066531865,0.984375,0
53,0.0001257680432900088,0.000019782756476720293,0.017441518013967258,0.5913873576696765,3896,0.07442787382905171,0.07442787382905171,0.7082444693175548,1.015625,0
54,0.00009316205978393555,0.00002001839846306051,0.017722799521456292,0.6084489870872859,4020,0.07583217531006771,0.07583217531006771,0.7182073693044386,1.046875,0
55,0.00012367551971692592,0.000021813624710683065,0.01701293702712925,0.6158944171896755,4036,0.07723647530926057,0.07723647530926057,0.7282651852442972,1.046875,0
56,0.0001233878820130485,0.000019930868136850385,0.01750584615400954,0.6449051300497038,4160,0.07864077725617752,0.07864077725617752,0.7384278880427946,1.078125,0
57,0.00017904439664562233,0.000021105396771389383,0.017772430516841155,0.6618267523816156,4284,0.08004507254363513,0.08004507254363513,0.7486423360201434,1.109375,0
58,0.0001938159384735627,0.000022872814978046983,0.019118144554739196,0.701126257651007,4520,0.08144937522363967,0.08144937522363967,0.7589985567815907,1.109375,0
59,0.0002161455213354202,0.000021284729704616333,0.020353304178566727,0.7292452243433315,4680,0.08285368010889238,0.08285368010889238,0.7694639741548068,1.140625,0
60,0.00020431567281775642,0.000022815048396316686,0.021820183145525578,0.7794697568482801,4920,0.08425798656935729,0.08425798656935729,0.7800874384864618,1.171875,0
61,0.00022291715504252352,0.000021898670553282743,0.022995831759113485,0.8015221245315323,5048,0.08425799608376118,0.08425799608376118,0.7986989756161454,1.203125,0
62,0.00022295692906482145,0.00002433943396004323,0.023691421842260942,0.8311382944509604,5176,0.08425800044312756,0.08425800044312756,0.8178346224636401,1.203125,0
63,0.0002354782736802008,0.000022409852733730292,0.023495966585871136,0.8622389525503731,5320,0.08425800580635925,0.08425800580635925,0.8372070510898141,1.234375,0
64,0.0002781014009087812,0.00002556853284068155,0.023605323901454006,0.8898430648905521,5468,0.08425801440126854,0.08425801440126854,0.8567784053200528,1.265625,0
65,0.0002567800256656483,0.00002263881335521253,0.02361385889203687,0.9200623409633385,5604,0.08425801756479191,0.08425801756479191,0.8768381556970111,1.296875,0
66,0.00030639047508884687,0.000027321595096912366,0.023920365659821075,0.9392684239170255,5728,0.08425801830977968,0.08425801830977968,0.8975775759271755,1.328125,0
67,0.0001841914163378533,0.000022624648582595368,0.024287530251962012,0.9455822804371032,5784,0.08425802882970804,0.08425802882970804,0.9185189228516083,1.359375,0
68,0.00026356934176874347,0.00002547362537936012,0.02395527352681132,0.9509358319442682,5836,0.08425803997469904,0.08425803997469904,0.9398382318039883,1.390625,0
69,0.00017924575149663724,0.00002162055623451205,0.023983608283372062,0.9669929376876478,5980,0.08425803720882191,0.08425803720882191,0.9615181113430439,1.421875,0
70,0.0002033135860983748,0.000023596399532102283,0.023633666625460722,0.9680371347106473,5972,0.08425803220984666,0.08425803220984666,0.983820026520475,1.421875,0
