frame,divergence_max,divergence_rms,kinetic_energy,vorticity,measured_cells,mass,mass_inside,centroid_m,top_m,outflow_rate,fuel_mass,flame_volume
1,0.00079345703125,0.00014247254510108622,0.00009737838939660864,0.008396937887596394,66612,0.00014540343018110136,0.00014540343018110136,0.30219456400745653,0.45703125,0,0.030759179273127053,0.03777503967285156
2,0.0005105126183480024,0.000060597622016300665,0.000415759471690123,0.0507629913092709,71296,0.00029447783071038386,0.00029447783071038386,0.3090561728827443,0.46484375,0,0.061444180980706316,0.038349151611328125
3,0.0008895948121789843,0.00008352342473305845,0.000984778475277058,0.1148313079401577,75384,0.00044829053802605134,0.00044829053802605134,0.3177113008253251,0.47265625,0,0.09204742527652564,0.03948974609375
4,0.0021101850434206426,0.00012699813501787293,0.0018267466531648668,0.19655327171533465,78560,0.0006077017130412874,0.0006077017130412874,0.32852210695267403,0.48046875,0,0.1225468492802003,0.041080474853515625
5,0.003446718445047736,0.0002124299279342654,0.003007528029979871,0.3044995146093262,83160,0.0007752524941631824,0.0007752524941631824,0.3419678037086166,0.49609375,0,0.15290065168560757,0.04318428039550781
6,0.0026493072509765625,0.0003302434775483807,0.004576222418368781,0.45180864709680263,87928,0.0009534590717522188,0.0009534590717522188,0.35789522883370417,0.51953125,0,0.18306619394254914,0.045684814453125
7,0.0050506591796875,0.0005007423147779373,0.006576523511493466,0.6687484171549698,93356,0.0011438110430458729,0.0011438110430458729,0.37584968674995645,0.53515625,0,0.21301187223523718,0.04850339889526367
8,0.006404876708984375,0.0007611714852619554,0.009085023310105205,0.9669671708084986,99628,0.001347040113065458,0.001347040113065458,0.39554963178259384,0.55859375,0,0.24271284302196505,0.0518183708190918
9,0.01131439208984375,0.0010754539167057886,0.012268522133039571,1.4515042231723918,106547,0.0015645583677863755,0.0015645583677863755,0.4165788469649957,0.58203125,0,0.27214222638281177,0.0554203987121582
10,0.0160064697265625,0.001450997990077751,0.01660599248194974,2.1683232405330597,113778,0.0017972787981971325,0.0017972787981971325,0.43828847232894513,0.60546875,0,0.30127748102944324,0.05942583084106445
11,0.02869325876235962,0.00209326273835644,0.022347607458680058,3.1220588690123985,120268,0.0020464513767059433,0.0020464513767059433,0.45973346074128446,0.62890625,0,0.32767316030079985,0.06336545944213867
12,0.02744150161743164,0.002499070263941751,0.029910390450978028,4.20707183663435,126428,0.00231205506658455,0.00231205506658455,0.48089065182523966,0.65234375,0,0.3490291781618048,0.06782197952270508
13,0.04993993043899536,0.0036099130098381283,0.03971387590549017,5.4131788785779005,131034,0.0025957947854243196,0.0025957947854243196,0.5005290303601091,0.67578125,0,0.37161034056501274,0.07219362258911133
14,0.06282353401184082,0.003971773805217261,0.04659441321540535,6.523608063737645,134983,0.0028957418547028704,0.0028957418547028704,0.5181645888621013,0.69921875,0,0.39479642710418383,0.07662391662597656
15,0.04886817932128906,0.004213170458068516,0.054928584338334745,7.667227945889168,139361,0.003211597656832833,0.003211597656832833,0.5340743398138148,0.72265625,0,0.4178119166622692,0.08057212829589844
16,0.04912090301513672,0.0043818456307747645,0.061107600992167596,8.602925905183048,142648,0.0035430734427816897,0.0035430734427816897,0.5483061537363646,0.74609375,0,0.44006913490437055,0.08441305160522461
17,0.05029869079589844,0.004397272972191761,0.0678080594834526,9.65758779724866,149182,0.0038903366508721685,0.0038903366508721685,0.5614735940312245,0.76953125,0,0.46152314272055056,0.08862447738647461
18,0.037120819091796875,0.004367829505515569,0.0744893113292389,10.69151808561941,155222,0.004254776858544492,0.004254776858544492,0.573650233292434,0.79296875,0,0.481976280564694,0.09248971939086914
19,0.041236042976379395,0.004407109021307257,0.08099230325855224,11.605467199370457,160122,0.004634455675174579,0.004634455675174579,0.585367898803119,0.80859375,0,0.5009173390248378,0.09627771377563477
20,0.04168558120727539,0.004408602633666537,0.08789601657066667,12.381645793032884,164057,0.005030513234096613,0.005030513234096613,0.596688032674932,0.82421875,0,0.5180718105162527,0.10025215148925781
21,0.0380096435546875,0.004426974620247439,0.09245854597366891,13.00702109656796,167661,0.005443136707220991,0.005443136707220991,0.6076296222861809,0.84765625,0,0.5331016545338446,0.10438919067382813
22,0.03578376770019531,0.004512964971005255,0.09769272819221711,13.681408185195275,173290,0.005873213560750667,0.005873213560750667,0.6188562558596072,0.86328125,0,0.5463942563299744,0.10857009887695313
23,0.0360870361328125,0.004607996438368819,0.10179456681323697,14.222238752545499,177409,0.00632140599597979,0.00632140599597979,0.6303455205017303,0.88671875,0,0.5586429851128425,0.11287689208984375
24,0.039142608642578125,0.004677612785590968,0.10417573100183614,14.468824063790636,179577,0.006788758240500735,0.006788758240500735,0.642228813399922,0.90234375,0,0.5696791698091496,0.11716890335083008
25,0.04023170471191406,0.0046551187139254185,0.10762658722654762,14.837944578919204,184106,0.007274700117285925,0.007274700117285925,0.6546764086815492,0.92578125,0,0.5799170749139095,0.12152433395385742
26,0.03995323181152344,0.004591019961705916,0.10979209460466854,15.096543304273197,187929,0.007780309331351914,0.007780309331351914,0.6676388543356373,0.94921875,0,0.5894719388142495,0.12598276138305664
27,0.04127693176269531,0.004730236608741733,0.11043542894895246,15.265038691176745,191834,0.008306259437921253,0.008306259437921253,0.6807967653008149,0.96484375,0,0.5981203153041463,0.13071918487548828
28,0.035305023193359375,0.004527363286577328,0.11126088800786127,15.459888450347082,197782,0.008853798396446273,0.008853798396446273,0.6946401480157622,0.98828125,0,0.6061461932040285,0.13549375534057617
29,0.03763580322265625,0.004433665114267605,0.11295808843885727,15.773913477671197,205667,0.009423759764011781,0.009423759764011781,0.7092325024165647,1.01171875,0,0.6135131389304673,0.1404590606689453
30,0.03721052408218384,0.00441572589704463,0.11484163730259786,16.087307066866927,214492,0.010017029833177562,0.010017029833177562,0.7244826981463768,1.03515625,0,0.6206135872075007,0.14559125900268555
31,0.0392189621925354,0.004338243342668554,0.11547475183610714,16.351647886393202,224029,0.010634147958232462,0.010634147958232462,0.7401744455087658,1.05859375,0,0.6271926567538733,0.15054082870483398
32,0.036762237548828125,0.004170984064480443,0.11803797144595018,16.66652222620411,233857,0.011273617678365263,0.011273617678365263,0.75638151550249,1.08203125,0,0.6329663619448582,0.155487060546875
33,0.036227643489837646,0.004002737072921546,0.11711788269135429,16.74464813425893,243092,0.011936299323491628,0.011936299323491628,0.7731571749362296,1.10546875,0,0.6381756456633276,0.1605205535888672
34,0.033275604248046875,0.00391234895824882,0.11843636674943721,16.993772729361257,253772,0.012621757742294416,0.012621757742294416,0.7899142871615137,1.12890625,0,0.6430186307825653,0.1658172607421875
35,0.03759002685546875,0.0037511935105895905,0.11974180934228969,17.26114469619547,265454,0.013331655035295924,0.013331655035295924,0.8069574771768785,1.15234375,0,0.6479188347593766,0.17098569869995117
36,0.03855109214782715,0.0037320745770375204,0.11990690533289534,17.319273586134315,275491,0.014065465630399518,0.014065465630399518,0.8245504399191707,1.17578125,0,0.6524195014112908,0.17627668380737305
37,0.0364532470703125,0.0036270343040552605,0.12331440386976622,17.799345269376776,289334,0.014825114948138726,0.014825114948138726,0.8424714800302384,1.20703125,0,0.6563352699690477,0.18178844451904297
38,0.043212890625,0.0035820348249901005,0.12475431144989084,17.980678182995046,301653,0.015610340521454871,0.015610340521454871,0.8609384555795638,1.23046875,0,0.6602054760967434,0.18761301040649414
39,0.03314685821533203,0.0035196684278209506,0.1260321573832825,18.12634984784305,313468,0.01642382286096901,0.01642382286096901,0.8793314878645602,1.25390625,0,0.6636732674425032,0.19410371780395508
40,0.039694786071777344,0.003401157403655002,0.1271799377249022,18.20051841735646,325942,0.017267482225355048,0.017267482225355048,0.8979960150275049,1.27734375,0,0.6667886358260451,0.20050525665283203
