frame,divergence_max,divergence_rms,kinetic_energy,vorticity,measured_cells,mass,mass_below,centroid_m,top_m,outflow_rate
1,0.004842215217649937,0.0016193644798507376,0.000000022910066366278506,0.00011240257070073856,7472,0.001398682639768478,0.001398682639768478,0.30004083279532034,0.4453125,0
2,0.00860260269837454,0.0027414458340871166,0.00000018669471344685116,0.00036171069765910806,7512,0.0027973894916694703,0.0027973894916694703,0.30013213358384244,0.4453125,0
3,0.010511630098335445,0.003247061376343976,0.0000007076248331708227,0.0008959899565955794,7712,0.004196172938909291,0.004196172938909291,0.3003063566262095,0.4453125,0
4,0.011067339219152927,0.003322054429423053,0.0000019057597990146685,0.002030724202018709,8016,0.005595086101748257,0.005595086101748257,0.3005895834267885,0.4453125,0
5,0.010944643756374717,0.0032121088908542545,0.000004185800918586103,0.003508534805431383,8192,0.006994116813653355,0.006994116813653355,0.3010077270076636,0.4453125,0
6,0.010599520755931735,0.0030922001766267504,0.000008142421199293565,0.0054675684886486015,8384,0.00839329352323047,0.00839329352323047,0.30158843183755474,0.4453125,0
7,0.010251878935378045,0.0030035021584787287,0.000014448841171820147,0.008007076939994622,8584,0.00979269442481086,0.00979269442481086,0.3023624255307433,0.4453125,0
8,0.009967243880964816,0.002966743273777015,0.000023824237991854588,0.01074064831193502,8736,0.011192535580040493,0.011192535580040493,0.30336120189799826,0.4453125,0
9,0.009739942906890064,0.0029548173299360062,0.00003751914342714239,0.014412625171507844,9008,0.012592449652190143,0.012592449652190143,0.3046056547125619,0.4453125,0
10,0.009534062235616148,0.00298274663519392,0.000056281733031695245,0.0180923918501298,9168,0.01399338501154979,0.01399338501154979,0.30613123874840326,0.4453125,0
11,0.00931832316564396,0.003027166244380605,0.00008139663987387405,0.021586466938255538,9404,0.015395367379817958,0.015395367379817958,0.3079775787171668,0.4609375,0
12,0.009064289624802768,0.0030882561618197904,0.00011464440204840021,0.02636339856855769,9652,0.016799631940927325,0.016799631940927325,0.3101800606945427,0.4609375,0
13,0.008747894666157663,0.0031654481425178143,0.00015691849005250027,0.03172860416096743,9856,0.01820532931088861,0.01820532931088861,0.3127554477605546,0.4609375,0
14,0.00858444522600621,0.003287671805813984,0.00021119458271943726,0.03798399049097746,10200,0.01961213526706919,0.01961213526706919,0.3157498104736113,0.4609375,0
15,0.00867190316785127,0.0034641333883225042,0.00027861933020114705,0.04551340397474746,10540,0.021020693658834026,0.021020693658834026,0.31921196224556875,0.4609375,0
16,0.0090320446761325,0.0037023136489858174,0.00036127157247524725,0.054222170680081026,10872,0.022431474537067665,0.022431474537067665,0.32319231063382525,0.4609375,0
17,0.009623475430998951,0.004003999431005873,0.0004606920401921052,0.06430658091640597,11144,0.023846936141210362,0.023846936141210362,0.32772553054278264,0.4765625,0
18,0.01034371240530163,0.00435335892234847,0.0005798455063647885,0.07578990682023122,11528,0.025269221423044094,0.025269221423044094,0.33284565796042687,0.4765625,0
19,0.011282202613074332,0.004784265938140518,0.0007208807547715147,0.08574344518965804,11836,0.026699705926935217,0.026699705926935217,0.3385539125763953,0.4765625,0
20,0.012353603611700237,0.005282743832848895,0.0008850207156145989,0.09830719243644241,12152,0.028138239875981737,0.028138239875981737,0.34483961100162064,0.4921875,0
21,0.013610223424620926,0.005875254927938998,0.001078379182263412,0.11439894700850446,12624,0.029577411530606088,0.029577411530606088,0.3516775870586776,0.4921875,0
22,0.014882965944707394,0.006538719903833876,0.001299264638421579,0.13198377778818504,13060,0.03101735005152586,0.03101735005152586,0.35905739009246956,0.5078125,0
23,0.01638860465027392,0.0073338304372366344,0.0015500066348990065,0.149966889335594,13516,0.03245673047610608,0.03245673047610608,0.3669554203482992,0.5078125,0
24,0.017951062531210482,0.008222662581143365,0.0018267965345643764,0.16529141018188348,13920,0.03388693185923759,0.03388693185923759,0.37533902375059763,0.5234375,0
25,0.019609206821769476,0.009207058705375606,0.002133297951470736,0.1823944242179224,14336,0.03530451674659497,0.03530451674659497,0.3841605235218882,0.5234375,0
26,0.021483637276105583,0.010305776799078585,0.0024692174949727456,0.20171581835968083,14768,0.03670942756491822,0.03670942756491822,0.39339582685301866,0.5234375,0
27,0.02467399276793003,0.011776415869047926,0.002832561070886955,0.21895849870210904,15168,0.03810043420095746,0.03810043420095746,0.40298823455584293,0.5390625,0
28,0.027945771114900708,0.0132282942473984,0.0032163724491929358,0.23664211192765142,15560,0.03948977438920235,0.03948977438920235,0.4129521192801145,0.5546875,0
29,0.031945495400577784,0.014641716300800653,0.003622748147504293,0.2572509201193701,16072,0.04088638393016824,0.04088638393016824,0.42324844166922,0.5546875,0
30,0.038274762686342,0.01646069859821264,0.004030493338805481,0.27197343798431267,16344,0.042295697313200514,0.042295697313200514,0.43382696373250174,0.5703125,0
31,0.0432047254871577,0.018123183688894182,0.004455294816185265,0.29213394486262373,16764,0.04371567457620232,0.04371567457620232,0.4445660384193708,0.5703125,0
32,0.04616071144118905,0.01953395076948006,0.004876662573221991,0.31180718939692725,17172,0.04514761945325789,0.04514761945325789,0.45536742857108053,0.5859375,0
33,0.047344207763671875,0.020507252588087242,0.005279484093438579,0.32797848826838377,17572,0.046591536700342794,0.046591536700342794,0.4661264678568875,0.6015625,0
34,0.04721808433532715,0.020842179043278054,0.005659496309277647,0.34783437337819756,17952,0.04802757451276234,0.04802757451276234,0.47669718851117987,0.6171875,0
35,0.0467071533203125,0.02078193388996718,0.006013338610922879,0.36917830184041034,18400,0.049477581238714555,0.049477581238714555,0.4870095995686013,0.6171875,0
36,0.045825958251953125,0.02047817830125037,0.006295719741692822,0.38711775250984687,18664,0.050950571388435485,0.050950571388435485,0.4970278558909378,0.6328125,0
