frame,divergence_max,divergence_rms,kinetic_energy,vorticity,measured_cells,mass,mass_inside,centroid_m,top_m,outflow_rate,fuel_mass,flame_volume
1,0.00023150382003223058,0.00004275188026591999,0.00007436379522262696,0.004316917061083403,812,0.00019171413243911407,0.00019171413243911407,0.2999918655082884,0.453125,0,0.03047020201651462,0.0506591796875
2,0.000055820234138082014,0.00000803478166648527,0.00034271955967847816,0.02557844488782919,952,0.00037856832857392574,0.00037856832857392574,0.30606420491664166,0.484375,0,0.060860836460302346,0.0517578125
3,0.0001524175304439268,0.0000198284718315127,0.0008542434296250289,0.06606520625238838,1072,0.0005807373022272659,0.0005807373022272659,0.31683281547615694,0.484375,0,0.0910378948121708,0.0540771484375
4,0.0001705974882497685,0.000020550499417641412,0.0016382367320732648,0.12530689470331985,1204,0.0007902289360555936,0.0007902289360555936,0.3268686113430088,0.484375,0,0.12108352796382009,0.0560302734375
5,0.000322501311529777,0.000044903192841690425,0.002896332764453515,0.1989587446701776,1352,0.0010131898118429337,0.0010131898118429337,0.33984287154234233,0.515625,0,0.1509004272074327,0.058349609375
6,0.0003181292922818102,0.00005046701024904496,0.00482003520070828,0.3211794489076093,1536,0.0012536976832759241,0.0012536976832759241,0.35460932262264566,0.515625,0,0.18046904714615025,0.063232421875
7,0.0003834857361653121,0.00009559749187756777,0.008308454348093894,0.5097397697197239,1680,0.0015100048052753387,0.0015100048052753387,0.37135876947709057,0.546875,0,0.20976891543055398,0.0667724609375
8,0.0013152642495697364,0.0002171356108992907,0.013659405450236542,0.7814647329994561,1856,0.0017906012576919758,0.0017906012576919758,0.39037130224682653,0.578125,0,0.23870370759702308,0.0709228515625
9,0.0013263225555419922,0.00032540828435482486,0.0201289377410055,1.065557198563402,2028,0.0020889226422739168,0.0020889226422739168,0.41084708053185903,0.609375,0,0.2672983892356111,0.076171875
10,0.002869773656129837,0.00048820908368925483,0.03332729065763458,1.4504799568741735,2204,0.0024139961411979126,0.0024139961411979126,0.4355807346054932,0.640625,0,0.29546356273488783,0.0831298828125
11,0.005030408501625061,0.0007577684964921355,0.04943021793161853,1.9552641941804851,2348,0.002771867355802439,0.002771867355802439,0.45928444716427996,0.640625,0,0.3214478654050925,0.0927734375
12,0.008239567279815674,0.0011821901448915463,0.059002372833031724,2.3266574944997633,2337,0.003173663740511513,0.003173663740511513,0.47707311011608305,0.671875,0,0.3429261901909407,0.098297119140625
13,0.006412506103515625,0.0013755127563963446,0.08397009317686269,2.5161922698910995,2317,0.0035910008956264398,0.0035910008956264398,0.4961526728835158,0.703125,0,0.36369049259745356,0.102203369140625
14,0.008484840393066406,0.001216931059015773,0.10771021451027357,3.169467861676491,2394,0.004022717103523869,0.004022717103523869,0.5134892381696555,0.734375,0,0.3856414383249287,0.111663818359375
15,0.009784698486328125,0.0012156125156219447,0.10636824647103651,3.3598347310738257,2484,0.004493438731217689,0.004493438731217689,0.5273654015568188,0.765625,0,0.40714513098662636,0.124786376953125
16,0.007106781005859375,0.001081333346999634,0.11022641629747679,3.57655080918877,2740,0.005024089976331589,0.005024089976331589,0.543133925351814,0.765625,0,0.4281455791790204,0.135040283203125
17,0.006758689880371094,0.0010721880073756129,0.1133390033673077,3.8479445346245993,2944,0.005596384529900867,0.005596384529900867,0.5577088526887423,0.796875,0,0.44955866569480046,0.14593505859375
18,0.005184173583984375,0.0008421393246835778,0.12154677244163051,4.106190710814673,3083,0.00620871119676211,0.00620871119676211,0.5720344262116674,0.828125,0,0.4702407404790644,0.15576171875
19,0.005448341369628906,0.0008819893528913058,0.1333056916189194,4.387055858722611,3242,0.006870234780828649,0.006870234780828649,0.5871184837359316,0.828125,0,0.48954521467201245,0.166748046875
20,0.0051763057708740234,0.0009372471186276433,0.12756904350756362,4.46232273639126,3367,0.00757643722496494,0.00757643722496494,0.6012348119641876,0.859375,0,0.5075755738403106,0.18035888671875
21,0.004896879196166992,0.0008626315202674119,0.14271508791056592,4.945643208802259,3706,0.008348368237719556,0.008348368237719556,0.6144447961136306,0.890625,0,0.5247658782949486,0.193359375
22,0.00677490234375,0.0008467986057667801,0.15471338242119118,5.453501158750837,4032,0.009178698254205331,0.009178698254205331,0.6280248797704462,0.890625,0,0.5402560456166821,0.20361328125
23,0.005700349807739258,0.0009106331191661539,0.16578565788759106,5.698613286060338,4251,0.01006035816300164,0.01006035816300164,0.6429242044919562,0.921875,0,0.5551526510812851,0.2169189453125
24,0.0063991546630859375,0.0009223384805123643,0.1682804060312665,5.915801924125975,4525,0.010996242650860685,0.010996242650860685,0.657324130771677,0.953125,0,0.5687853458258546,0.2291259765625
25,0.0055828094482421875,0.0008358334012746611,0.1798381430500435,6.302377823736913,4981,0.011987651307715388,0.011987651307715388,0.673104544470258,0.953125,0,0.58078606818208,0.243499755859375
26,0.007599830627441406,0.0008590376473391828,0.18574883473395323,6.625260932438752,5363,0.013042337322528883,0.013042337322528883,0.6900906339413698,0.984375,0,0.5912846492494743,0.255126953125
27,0.00577545166015625,0.0008674140077500842,0.2053575406684011,7.1302320731894335,5829,0.014158297471543244,0.014158297471543244,0.7074235169790273,1.015625,0,0.6006084793898594,0.268218994140625
28,0.005382895469665527,0.0008168190998003172,0.21927344731224682,7.530546681723907,6269,0.015333341931011022,0.015333341931011022,0.726008400684869,1.046875,0,0.6082932222755889,0.28125
29,0.005560874938964844,0.0007848225476691335,0.2179729752954137,7.580882260588326,6582,0.016575095186313595,0.016575095186313595,0.7442624887375683,1.078125,0,0.6150618493513913,0.290252685546875
30,0.0047931671142578125,0.0007464805521108209,0.22656054405169232,8.002742731380282,7205,0.017864283555269717,0.017864283555269717,0.7628974322058407,1.078125,0,0.620482445790697,0.301177978515625
31,0.00603485107421875,0.0007935716026355064,0.24075734153299513,8.24530817811482,7563,0.01920570032998377,0.01920570032998377,0.7823608668265041,1.109375,0,0.6256004718842675,0.31036376953125
32,0.005059242248535156,0.000755259946855597,0.2570970888529853,8.497137428423875,8015,0.020593200656815303,0.020593200656815303,0.803433343948303,1.140625,0,0.6291646273183736,0.322296142578125
33,0.005352973937988281,0.0006209922461752316,0.2679365382777872,8.751224960948274,8657,0.02204136014964711,0.02204136014964711,0.8246281074144521,1.171875,0,0.6312128442467084,0.33184814453125
34,0.004767894744873047,0.0005908838443481835,0.2928366829452634,9.230293841822519,9364,0.023542985601621772,0.023542985601621772,0.84675762394199,1.203125,0,0.6331374724366379,0.343017578125
35,0.006194591522216797,0.0006385506349538639,0.30094661014222657,9.407182014938929,9838,0.02509568690448872,0.02509568690448872,0.8693417671681261,1.234375,0,0.6340323502481917,0.352325439453125
36,0.005719661712646484,0.0006227527534526586,0.31963539190949625,9.723579893012442,10345,0.026702844298994888,0.026702844298994888,0.8923276503005294,1.265625,0,0.6342807684826843,0.36114501953125
37,0.005174398422241211,0.0006337527946910233,0.33402615822884735,9.911544906370615,10829,0.028356034413946907,0.028356034413946907,0.9165228613227623,1.296875,0,0.6342524794070323,0.36834716796875
38,0.005239009857177734,0.0006111340847910308,0.362506670832681,10.417793626685338,11508,0.03005869966658695,0.03005869966658695,0.9410662165318413,1.328125,0,0.6335339229668877,0.38140869140625
39,0.005798816680908203,0.0006290200432713036,0.3695968216495234,10.437778352260304,11765,0.031827608754316436,0.031827608754316436,0.9658199393033824,1.390625,0,0.6325981618358412,0.390655517578125
40,0.0052967071533203125,0.0005692298399577916,0.40499037989153536,10.978160586645163,12238,0.033671127275395556,0.033671127275395556,0.9918518352459572,1.421875,0,0.6314735979477132,0.406005859375
41,0.005487203598022461,0.0005894047904310431,0.41692283742521263,11.148424930905563,12701,0.03559541298476323,0.03559541298476323,1.0188345613517933,1.453125,0,0.6291711607162721,0.41387939453125
42,0.0062465667724609375,0.0006331761009173085,0.43309996614485397,11.511556817620894,13274,0.037571149636822565,0.037571149636822565,1.0457197302597623,1.484375,0,0.6275790784565587,0.42425537109375
43,0.006974220275878906,0.0006460579215402388,0.45184539948978975,11.79894816350272,13781,0.03958934459552665,0.03958934459552665,1.0731866663990939,1.515625,0,0.6252756946601459,0.4248046875
44,0.005576133728027344,0.0005771847956690057,0.4681589788021758,11.836446085050925,14113,0.04161039899812611,0.04161039899812611,1.1011232107806856,1.546875,0,0.6224875325663355,0.4298095703125
45,0.004962921142578125,0.0005507915442286186,0.4920692652729745,12.276074307101574,14749,0.04364509820426805,0.04364509820426805,1.1300492331457694,1.609375,0,0.6197582156760971,0.42803955078125
46,0.0055332183837890625,0.0005449412546166733,0.5228691764766626,12.769035346910828,15448,0.04568535806612207,0.04568535806612207,1.158897701703064,1.640625,0,0.6164541035851969,0.431610107421875
47,0.007883071899414063,0.000576101848260839,0.5517276270749883,13.308772669613438,16232,0.04774068070782166,0.04774068070782166,1.18777456219216,1.671875,0,0.6134105301306841,0.431060791015625
48,0.008140206336975098,0.0005850826253431418,0.5602303100673427,13.376276662025807,16887,0.049760361487021246,0.049760361487021246,1.2171098520692296,1.734375,0.0000005395402658116883,0.6110583527275315,0.427001953125
49,0.005953311920166016,0.0005471017904086155,0.5815208246633026,13.68487020080429,17473,0.051726662386461585,0.05172274710577036,1.2457578446689377,1.765625,0.001652920555828436,0.6101457334203375,0.416015625
50,0.005825042724609375,0.0005600671934309053,0.6029602722244964,13.924929014237549,18069,0.053629715233073645,0.05343508372984213,1.2752101429119227,1.828125,0.010196099903393544,0.6100292014667177,0.404998779296875
51,0.005359649658203125,0.0005141307692831268,0.6361019835894857,14.378528441521143,18987,0.055440935728119346,0.05466422435861633,1.3026964398652499,1.859375,0.024082870101581062,0.6097559487233836,0.400909423828125
52,0.0057086944580078125,0.0005377646763934879,0.6568687212385651,14.684633253681385,19725,0.05667598671814138,0.055203150603978006,1.3237633066177483,1.890625,0.03542167654030372,0.6086039623390453,0.396209716796875
53,0.005291461944580078,0.0005202241180209032,0.6710326420963197,15.026137516409209,20211,0.05717669453611197,0.05524283055751222,1.3374609938234634,1.921875,0.04273999628505801,0.6068966948733994,0.394622802734375
54,0.006925344467163086,0.0005165259789813885,0.685720427574288,15.219344783719748,20688,0.057283499822908056,0.05506347397842166,1.3461018376696616,1.921875,0.04621610816911066,0.6074130560352824,0.392730712890625
55,0.005356550216674805,0.000527762996449899,0.672198998457335,15.210794227305751,20814,0.05718152780251603,0.05487820230808596,1.351234113489912,1.921875,0.04467660910221614,0.6076728674972679,0.392333984375
56,0.0061321258544921875,0.0004993268347243118,0.6648890776279147,15.038398372112377,20901,0.05708432583976355,0.05480460825645153,1.3558146028562141,1.921875,0.04348294859672401,0.6078785602539326,0.384552001953125
57,0.0056324005126953125,0.000504445048725928,0.6782492406365128,15.271009302670976,21275,0.057088577412921164,0.05470978021003045,1.3617217769145287,1.921875,0.047121522753842245,0.6084449424557983,0.37957763671875
58,0.005298614501953125,0.000501364167763517,0.6923485990972102,15.342656922265645,21399,0.05718802973574448,0.05442154827814536,1.3678232454745618,1.921875,0.04968004493137063,0.6089263449836485,0.373565673828125
59,0.0066716670989990234,0.0005285681876598892,0.6849584142059686,15.263009791986583,21413,0.057079002706246704,0.05401915793874225,1.3721327591044021,1.953125,0.05103308812859817,0.6100456447714004,0.37274169921875
60,0.005290031433105469,0.0004983351874707733,0.6889488232491517,15.412113697780965,21617,0.05669037970208433,0.053523591474406204,1.3728957292552122,1.953125,0.053704420107450544,0.6104521537940091,0.37298583984375
61,0.006514549255371094,0.0005120673811606493,0.6638279590387088,15.054522777539582,21379,0.05625343894257375,0.052879896001488715,1.3733900419719314,1.953125,0.056053301400180305,0.5842779986287326,0.371002197265625
62,0.006645023822784424,0.00048703770310710575,0.6461741529973763,14.875810293161543,21212,0.05576526087241971,0.052157020853085684,1.3723509740082167,1.953125,0.05560937859101913,0.5576901285807835,0.369903564453125
63,0.005760669708251953,0.000494412099543281,0.6381186665534654,14.735023301993138,21103,0.05519572893054179,0.0513796849589939,1.3705928681257922,1.953125,0.0563210646152495,0.5312695458508858,0.36993408203125
64,0.004881381988525391,0.00046416114565535685,0.6290522036195455,14.598741990021,21036,0.05462727537218916,0.050646729952244264,1.3682232420981666,1.953125,0.05543032206653341,0.5049365885363777,0.369232177734375
65,0.004628419876098633,0.00046740333540013163,0.603910409866113,14.038333012577503,20788,0.05394114584685728,0.049858963746508514,1.3644567565204777,1.953125,0.054249156569906254,0.47920621800791197,0.36370849609375
66,0.0045566558837890625,0.00044183400931541487,0.5781158279482984,13.55622697417142,20409,0.05320218955895761,0.04908380516318494,1.3591790501288936,1.953125,0.05319195721203468,0.4532053093551402,0.356903076171875
67,0.004836082458496094,0.0004142923669918546,0.5702979068766808,13.32963678709675,20339,0.052416985642944926,0.04823827391576957,1.3531664383069677,1.953125,0.0539288870916399,0.42868282610087866,0.34503173828125
68,0.005037546157836914,0.00044374913680876056,0.555256119553778,13.053063602529956,20134,0.05169382669572866,0.04741951793831872,1.3468795718332314,1.953125,0.05259539973678216,0.40495968537065785,0.34161376953125
69,0.0044705867767333984,0.00041426690015502283,0.540285371131004,12.645501010119974,19906,0.05084801106089235,0.04677915799155341,1.3388327674540708,1.953125,0.04543001460468772,0.3801617929137613,0.34429931640625
70,0.004273653030395508,0.0003911659595179292,0.5275069746149788,12.371010327018197,19789,0.05016044864816755,0.04641872375333727,1.3329519197738395,1.953125,0.04124789708615417,0.35588350841049093,0.3499755859375
71,0.0040302276611328125,0.00037448700339832997,0.523902672398582,12.125329179583153,19885,0.049875367797883735,0.04632315594982435,1.331774745994515,1.953125,0.03784941119118418,0.331650359828778,0.355712890625
72,0.003528118133544922,0.0003933711530168563,0.5204250912813855,11.95850278896446,19920,0.04978509875826561,0.046397953281120126,1.3339876489874956,1.953125,0.03817637347587802,0.30729145470137786,0.355133056640625
73,0.003215789794921875,0.00036979586798181497,0.5208754093623266,11.712670906778044,19951,0.049863863842424284,0.04650499841035574,1.339257829148328,1.953125,0.03811945432477513,0.2832785867941182,0.353668212890625
74,0.0038776397705078125,0.00037339762383657054,0.5347252641031445,11.64230773936725,20028,0.04992868575354554,0.046628272386146884,1.3457967833671856,1.953125,0.03626942183241683,0.2595774743315782,0.352142333984375
75,0.00328826904296875,0.00035868751517415985,0.5298015366954238,11.275263454691334,19953,0.05002082038787948,0.046811569101025054,1.3548302414434692,1.953125,0.034987309026761344,0.23638680870820558,0.343475341796875
76,0.002917766571044922,0.00035498883700623937,0.5385502950115628,11.174079743817193,20263,0.05016024146947013,0.04692883347085335,1.3664856210530747,1.953125,0.04253684326766112,0.2139291427652802,0.33868408203125
77,0.0028781890869140625,0.00032857890477350855,0.5428427527876766,11.067082957987676,20313,0.05034909901694576,0.0467444244244241,1.3788087421118216,1.953125,0.05034212058460076,0.19186677755486203,0.334136962890625
78,0.0038824081420898438,0.00032345255544796123,0.5436767727528403,10.822839460502447,20307,0.05003527555081424,0.04627030867940052,1.3868224621607996,1.953125,0.05588727224568299,0.16998564269522093,0.325042724609375
79,0.0029175877571105957,0.00031258257597038044,0.545544513927806,10.663510198046612,20442,0.04932255369559368,0.045359438022095674,1.3929555393667863,1.953125,0.05991478618145489,0.14812793168660385,0.311553955078125
80,0.0027642250061035156,0.0003035238395916251,0.5364713138548377,10.436346087927728,20422,0.04820695750677288,0.044261671913117424,1.3955404421867232,1.953125,0.05506583729979787,0.1273519657775436,0.285888671875
81,0.002641916275024414,0.0003017167837038167,0.5228419387701128,10.079784827367877,20204,0.04679530579172222,0.04320238877864654,1.396589990601451,1.953125,0.0531195235893587,0.10924363214322137,0.260345458984375
82,0.0020943880081176758,0.00028987839062557337,0.511989719581612,9.738975721488112,20166,0.0456139736405341,0.04213029053428105,1.4008127562107284,1.953125,0.052989350800289006,0.09260566810578884,0.240814208984375
83,0.0021364688873291016,0.0002679827128999274,0.4902741532149782,9.304457886006416,19817,0.04441843456210334,0.04092018129800096,1.406126642564488,1.953125,0.05449977309657871,0.07687672741016793,0.219024658203125
84,0.0018970966339111328,0.0002463107190406924,0.47101441642138403,9.034165120833393,19699,0.04303395059880215,0.03964812459799629,1.409771340680539,1.953125,0.053577923260837726,0.06181775255506757,0.19537353515625
85,0.0020761489868164063,0.00024177123524087067,0.4542600049597498,8.8232520676065,19758,0.04150660488956187,0.03822449682313377,1.4137533112459029,1.953125,0.05175878634235395,0.046850601456863754,0.169708251953125
86,0.0018062591552734375,0.00022336684217249265,0.42513444167004627,8.38369639764103,19419,0.040022335883950655,0.03687469147045662,1.4182066393303672,1.953125,0.04502588480835488,0.033350363053144455,0.144073486328125
87,0.0017418861389160156,0.00020158404556266666,0.3928058924868767,7.971642433153632,19161,0.038490950046464974,0.0356231920514855,1.4239953085139956,1.953125,0.03997481982533384,0.02276080018704904,0.118377685546875
88,0.0013985633850097656,0.00018274994777933855,0.36719327543723435,7.625793520883919,19000,0.0372012780499016,0.03452801935747979,1.4338962320196886,1.953125,0.036565274124148235,0.014858383505579834,0.09918212890625
89,0.0012246668338775635,0.0001571396168056918,0.3509749388534016,7.558016549885558,19177,0.03605125098618391,0.033503481846650696,1.4465289544514872,1.953125,0.03323796934619985,0.009171356675294022,0.077056884765625
90,0.001331925392150879,0.0001415993524786861,0.338354434582818,7.5834832035528,19688,0.034934228253899746,0.03243916510597231,1.4611411378169556,1.953125,0.032169143388626704,0.005228793855880848,0.055908203125
91,0.0014271736145019531,0.00013500778408384058,0.32226814213924965,7.389722081263579,19470,0.03379511013981784,0.03135450140847601,1.4758815866038646,1.953125,0.030073424840648382,0.0026569680496491242,0.035369873046875
92,0.001262664794921875,0.00013202744998289513,0.3107480269519606,7.240421284170871,19442,0.03260411310874995,0.03020824550147587,1.490229637673202,1.953125,0.030477091045163402,0.0012014469811260017,0.02105712890625
93,0.0013117790222167969,0.00012952512096921307,0.30902807367248397,7.310952359758766,19663,0.03145392493564577,0.02903780911605844,1.503983677774808,1.953125,0.029705526394392414,0.0004124894518704736,0.01123046875
94,0.0010023117065429688,0.00012151173328415563,0.30499062714920155,7.324540651448863,19851,0.03020295064403671,0.027823042800801823,1.5160720963539078,1.953125,0.029994430996857575,0.0000824185972220692,0.00408935546875
95,0.0010433197021484375,0.00011719225305734899,0.3028917712694283,7.3505186529463975,20063,0.028991713130602975,0.02656340185145001,1.5273423608527579,1.953125,0.032833702463225804,0.000002338317966874351,0.00054931640625
96,0.001226186752319336,0.00011716967398625887,0.29943021640919104,7.426743831659432,20358,0.0277718263961304,0.025201500445759452,1.536605082161579,1.953125,0.035141665588021516,0,0
97,0.0009760856628417969,0.00011225550396578236,0.29103565907646783,7.389529162885835,20418,0.026460289702729557,0.023740202805987213,1.5424594675812158,1.953125,0.034879577530287614,0,0
98,0.0008802413940429688,0.00010445654359623124,0.28246341658693175,7.3275592628925414,20433,0.025054103779559547,0.022341164838837742,1.5444372118827956,1.984375,0.030016899364066752,0,0
99,0.0007402896881103516,0.00009817483973497951,0.2750509496159602,7.3876021661974685,20645,0.02359906001900874,0.021075003024323472,1.543977545159375,1.984375,0.02605105053516928,0,0
100,0.0007607936859130859,0.00009778524345073959,0.27724387063886835,7.551821023342946,21054,0.02236168518353962,0.019977005663550724,1.5448302707028663,1.984375,0.023036154792136564,0,0
