frame,divergence_max,divergence_rms,kinetic_energy,vorticity,measured_cells,mass,mass_below,centroid_m,top_m,outflow_rate
1,0.015360161662101746,0.0056400608784160245,0.000000034088684106864774,0.00013017547181906587,65144,0.001396773833372491,0.001396773833372491,0.3000346785177468,0.44921875,0
2,0.033971790224313736,0.012334050680505663,0.0000002823232612836314,0.00047604031866766637,65852,0.002793569917831553,0.002793569917831553,0.3001304678602397,0.44921875,0
3,0.05072933924384415,0.0176606299227877,0.0000010515382807167266,0.0012891085966626247,67224,0.004190462876098635,0.004190462876098635,0.30031974002129946,0.44921875,0
4,0.06356104486621916,0.020953084323984697,0.0000027352040234768465,0.00258682008670628,68180,0.005587583964907404,0.005587583964907404,0.3006324694613174,0.44921875,0
5,0.07148819789290428,0.022768720728041935,0.000005833144586678802,0.004328139315421488,69220,0.006985118549982118,0.006985118549982118,0.3010969712988591,0.44921875,0
6,0.07503239763900638,0.023489755579146492,0.000010949074042226775,0.006690839687527399,70352,0.008383531562774153,0.008383531562774153,0.30174305131309637,0.44921875,0
7,0.07458553835749626,0.02363051690552869,0.00001881868650635383,0.009446590812181084,71500,0.009783007278543891,0.009783007278543891,0.3026028088142527,0.44921875,0
8,0.07259797304868698,0.023503383460359673,0.0000303324930970086,0.012695339322270023,72872,0.011184180222284063,0.011184180222284063,0.3037132276391005,0.44921875,0
9,0.06910731643438339,0.02329349554510195,0.00004647885950006163,0.01641984489945319,74144,0.012587601786013978,0.012587601786013978,0.3051070306686617,0.44921875,0
10,0.06509074475616217,0.023180312937862303,0.00006842293996828722,0.02064102256828974,75492,0.013994121309853861,0.013994121309853861,0.30683004067397174,0.44921875,0
11,0.06172019548830576,0.02333975410643322,0.00009772532829993451,0.025781303307999583,77068,0.01540488434625126,0.01540488434625126,0.30892961401654073,0.45703125,0
12,0.059372270945459604,0.023841803805164694,0.0001358930825744984,0.03194938601917387,78844,0.01681986484293474,0.01681986484293474,0.31145848945611787,0.45703125,0
13,0.05848590610548854,0.02482439510720186,0.00018466299512664465,0.038936235736490035,80636,0.01823988278225068,0.01823988278225068,0.31446874115035933,0.45703125,0
14,0.059204358607530594,0.02639801198790949,0.00024551319282747577,0.0468973770778431,82356,0.01966629749134745,0.01966629749134745,0.3179933284333495,0.46484375,0
15,0.06175808049738407,0.028579701846810933,0.00032165768898722533,0.05698484320715932,84712,0.02109866296688026,0.02109866296688026,0.3220530008844839,0.47265625,0
16,0.06698538362979889,0.031421694076705156,0.00041495835119358636,0.06866683359847114,87104,0.022534976082555627,0.022534976082555627,0.3266520002367002,0.47265625,0
17,0.07446971535682678,0.03489815457181035,0.0005287976876295233,0.0818341731282602,89920,0.02397530761503478,0.02397530761503478,0.3318039548499749,0.48046875,0
18,0.083929643034935,0.03904348709587397,0.0006637651625476123,0.09480435112290878,92680,0.025421592485692313,0.025421592485692313,0.3375249999537757,0.48828125,0
19,0.09549987316131592,0.04397196261066509,0.0008236410919322409,0.10923920870113964,95596,0.026872471939686143,0.026872471939686143,0.3438160063534838,0.48828125,0
20,0.1087687611579895,0.04945926734058482,0.0010106253743318331,0.124229990063939,98536,0.028327521056484072,0.028327521056484072,0.3506889664486539,0.49609375,0
21,0.12380516529083252,0.055571141722014855,0.0012266051333327305,0.1388559771149183,101732,0.029788475808701857,0.029788475808701857,0.35816280061519234,0.50390625,0
22,0.14111733436584473,0.06253290465513592,0.0014726802432723962,0.15395547102826238,104840,0.03125746845076791,0.03125746845076791,0.36625155142034865,0.51171875,0
23,0.16114354133605957,0.07045374385640323,0.0017518942997404121,0.16954771000309807,108216,0.032732947320108716,0.032732947320108716,0.3749653813829442,0.52734375,0
24,0.18396306037902832,0.07945501604143379,0.0020633820030037647,0.1853061602349232,111588,0.03421468282602874,0.03421468282602874,0.3843057138916848,0.53515625,0
25,0.2096400260925293,0.08947317277315889,0.0024076708675254276,0.20137212947315367,114992,0.035704218175652794,0.035704218175652794,0.3942599504045083,0.54296875,0
26,0.23813962936401367,0.10046161522056886,0.0027851314411123603,0.21691120557955232,118640,0.03720261674312838,0.03720261674312838,0.40481147799031814,0.55859375,0
27,0.26991891860961914,0.11266940810284583,0.003190393918869862,0.23322660900936404,122104,0.03871186993754219,0.03871186993754219,0.41592896360544007,0.56640625,0
28,0.305316686630249,0.12615948584261413,0.0036251510491739397,0.25112725631181154,126008,0.04023594199845029,0.04023594199845029,0.4275652501402544,0.58203125,0
29,0.34505152702331543,0.14107312880814077,0.004083990173126813,0.2683215084971644,130028,0.041779765943728016,0.041779765943728016,0.43965603206244763,0.59765625,0
30,0.3872404098510742,0.15696997635083865,0.004557210118268415,0.2845717496866444,134004,0.043341949524543025,0.043341949524543025,0.4521295148553778,0.60546875,0
31,0.43139272928237915,0.1733099562320947,0.005050038292972671,0.3025090119213231,138572,0.04493024117712484,0.04493024117712484,0.4649135830233076,0.62109375,0
