frame,divergence_max,divergence_rms,kinetic_energy,vorticity,measured_cells,mass,mass_below,centroid_m,top_m,outflow_rate
1,0.0007994771003723145,0.00015302335616094754,0.000004952551706829805,0.0000000003420804682031684,460,0.0013682047933798458,0.0013682047933798458,0.2985013940520446,0.453125,0
2,0.0008076509402599186,0.00016358812131465024,0.000027065866932218537,0.002041159040273671,624,0.002735711753549374,0.002735711753549374,0.299019763301957,0.453125,0
3,0.000817013431515079,0.00016480853523504372,0.0000673798275139113,0.0068152590953218075,712,0.004101754406073493,0.004101754406073493,0.2999202300411531,0.453125,0
4,0.0008324550071847625,0.00016622647888829038,0.0001270024787652918,0.013216506862877146,780,0.0054655063860014445,0.0054655063860014445,0.3012425561875966,0.453125,0
5,0.0008480838223476894,0.00016622903891401922,0.00021070589958147983,0.021511150775990508,856,0.006826257796763838,0.006826257796763838,0.3030361396823168,0.453125,0
6,0.0008507050151820295,0.00016204244371880138,0.00032249431501013125,0.035315382148339756,960,0.008182367862367472,0.008182367862367472,0.305359232191849,0.453125,0
7,0.0008351960132131353,0.00015503920546748896,0.00045905173108772316,0.04685242557672245,1040,0.009536390387996443,0.009536390387996443,0.30826360254744284,0.453125,0
8,0.0008074255820247345,0.00015321617713919488,0.0006389849713728595,0.06529624581814844,1164,0.010888975482769757,0.010888975482769757,0.3118144801495199,0.453125,0
9,0.0008359832354472019,0.00013583377860328568,0.0008471631508102701,0.08189104944961054,1272,0.01224084425556516,0.01224084425556516,0.3160815681553799,0.453125,0
10,0.0007621469339937903,0.00012742670903145926,0.0010683640989989616,0.09921076417643933,1364,0.013598864605601908,0.013598864605601908,0.3210906601225566,0.484375,0
11,0.0006314664715318941,0.00014171972262139057,0.0013303495863451174,0.12132845412953845,1472,0.014961884487301128,0.014961884487301128,0.32689001131789713,0.484375,0
12,0.0007062875083647668,0.00016644771135376654,0.0016492033886200078,0.14754341651747388,1588,0.016340302425007978,0.016340302425007978,0.3334661335090294,0.484375,0
13,0.0008478611707687378,0.00019317715399595954,0.0019792625135127214,0.16886125504957952,1712,0.01772471689501252,0.01772471689501252,0.3408800138037698,0.484375,0
14,0.0009878277778625488,0.00021362704317546844,0.0023588551775686364,0.19914601000248722,1828,0.019145780364188708,0.019145780364188708,0.3489729460076516,0.484375,0
15,0.0013825983187416568,0.0002703228739851745,0.0027695354041441774,0.22325788701690577,1948,0.020586000395331316,0.020586000395331316,0.3577382268889423,0.515625,0
16,0.0020087338925804943,0.00033733761280945775,0.0032225236228107454,0.2474321527286336,2068,0.02203531950374509,0.02203531950374509,0.3669376934315297,0.515625,0
17,0.0023633143573533744,0.0003734170353860971,0.00371920483626592,0.27111405687767504,2192,0.02350967332975929,0.02350967332975929,0.3768707684414856,0.515625,0
18,0.0021687635162379593,0.0003637129383974111,0.004269597911097774,0.2964422183568849,2332,0.025013217455026042,0.025013217455026042,0.3872657359301354,0.546875,0
19,0.00040613975943415426,0.00005333774238350149,0.004853919465706757,0.31988320190609887,2456,0.02650792163764249,0.02650792163764249,0.3980351420621743,0.546875,0
20,0.002296694670803845,0.0003905784391555441,0.00548794179311529,0.34327305414229403,2584,0.027980117299083406,0.027980117299083406,0.4092272001598434,0.578125,0
21,0.002222855488071218,0.0003853652898143065,0.006168140616028334,0.36556962279330296,2712,0.029463162604541713,0.029463162604541713,0.420788675489171,0.578125,0
22,0.0019783973693847656,0.0004023216496655138,0.006896252554851443,0.39007063957705,2876,0.030920621334265548,0.030920621334265548,0.43268783067543737,0.578125,0
23,0.00046808589104330167,0.00006452733485991562,0.007676559398902412,0.4146573067975078,3020,0.03239568926117429,0.03239568926117429,0.44485628535657357,0.609375,0
24,0.00054200323211262,0.00008077000767161797,0.008490033523443496,0.4386526699495207,3172,0.03384391890014305,0.03384391890014305,0.4572672297339741,0.609375,0
25,0.000506550983118359,0.00009206685905281195,0.009354260181978666,0.4629882448732624,3324,0.035266974890006346,0.035266974890006346,0.4699397471731437,0.640625,0
26,0.000483519361296203,0.00009278220763019202,0.01023165857311394,0.4853562715646616,3424,0.03664280072648442,0.03664280072648442,0.4826853269092582,0.640625,0
27,0.000381544217816554,0.00008483569243368092,0.011197092895705299,0.5107117507421495,3600,0.03801918367867953,0.03801918367867953,0.49542200475240256,0.671875,0
28,0.0005182759123272263,0.00010156639154847414,0.012199336749041896,0.5375415015589124,3772,0.03939477541918268,0.03939477541918268,0.5083196868901817,0.671875,0
29,0.0005490944458870217,0.00010713940618007484,0.013186619927900527,0.559251725939457,3844,0.04075217953022314,0.04075217953022314,0.5210588510103941,0.703125,0
30,0.0005383313473430462,0.00008932615931712363,0.014287530832553645,0.5879401779591625,4040,0.042196223820790496,0.042196223820790496,0.5336914340554151,0.734375,0
31,0.0004725837134174071,0.00009038482942866318,0.015400789394391068,0.6119381834664607,4204,0.04360278095599731,0.04360278095599731,0.5460123562070441,0.734375,0
32,0.000558965744858142,0.0001116468622582491,0.016613668010415833,0.6407992856619819,4444,0.04492954984862369,0.04492954984862369,0.5580541380659233,0.765625,0
33,0.0005750019336119294,0.00011527728328649395,0.017778221015633165,0.6680355426224518,4596,0.04625158562363134,0.04625158562363134,0.5699074273914159,0.765625,0
34,0.000441804964793846,0.00009523131377513592,0.019032129395197803,0.7006436218217453,4808,0.04756176681408299,0.04756176681408299,0.5814583251321588,0.796875,0
35,0.000466040557512315,0.00010072254494972548,0.020269087768772228,0.7300255902800931,4968,0.04893344806387126,0.04893344806387126,0.5927638566141477,0.796875,0
36,0.0004652731768146623,0.00009951118832169968,0.02159287322525882,0.7633775222512443,5184,0.05031303066083661,0.05031303066083661,0.6040092032909449,0.828125,0
37,0.0003916190325981006,0.00008068538956631764,0.022929309128006177,0.7969896702065351,5398,0.051674084016135546,0.051674084016135546,0.6149609452691779,0.859375,0
38,0.0003735971258720383,0.00008216200635279854,0.02426134658976263,0.8290681897062504,5580,0.05308387659826749,0.05308387659826749,0.6259783082005338,0.859375,0
39,0.0004322304521338083,0.00008768194749264705,0.025730014927622332,0.8654408782174295,5864,0.054420989038016884,0.054420989038016884,0.6367253745567316,0.890625,0
40,0.0003861455388687318,0.00008225715535214552,0.02707976376157174,0.8985251505469642,5984,0.055737727364425435,0.055737727364425435,0.6475938137887094,0.921875,0
