frame,divergence_max,divergence_rms,kinetic_energy,vorticity,measured_cells,mass,mass_below,centroid_m,top_m,outflow_rate
1,0.0005610721636912785,0.00017500677534828274,0.000000014639407430554469,0.00006675911793164746,736,0.0014043108933446595,0.0014043108933446595,0.2999211797575249,0.453125,0
2,0.0008445764542557299,0.00028501809571139974,0.00000012952778957943938,0.00021436221336001052,748,0.0028086737789676888,0.0028086737789676888,0.3000074250107165,0.453125,0
3,0.0009398322945344262,0.00033506378602751453,0.0000005106989765769342,0.0004282125569908246,748,0.0042131463557264675,0.0042131463557264675,0.3001734243655887,0.453125,0
4,0.0009598323740647174,0.00034138873083949177,0.000001480242731474345,0.0009901940226902414,800,0.005617810249906494,0.005617810249906494,0.3004451382678197,0.453125,0
5,0.0009623131700209342,0.0003400159092854538,0.0000034120975022936205,0.0019839240703017754,848,0.007022595269145021,0.007022595269145021,0.3008468405792153,0.453125,0
6,0.0009680514485808089,0.000342634571283155,0.000006728456874495637,0.0031109929024401685,872,0.008427567168071587,0.008427567168071587,0.3014062977865513,0.453125,0
7,0.0009816392994252965,0.00034907166570801064,0.000012064193694640129,0.004402024044584118,892,0.00983274356792976,0.00983274356792976,0.3021498466602632,0.453125,0
8,0.00100032478076173,0.00035354596493961343,0.000020471248969307235,0.00676188133360476,940,0.011238465896165393,0.011238465896165393,0.30309447667286943,0.453125,0
9,0.0010239910334348679,0.0003644892547345495,0.00003234727440305613,0.009302213433397802,972,0.012645022018485302,0.012645022018485302,0.304282955759985,0.453125,0
10,0.001053822365065571,0.0003795262487103275,0.00004890227708357046,0.012115054290543555,1004,0.014051261683182588,0.014051261683182588,0.3057374776472503,0.453125,0
11,0.0010888305914704688,0.0003971122667197699,0.00007158014001513816,0.015677030154228437,1048,0.015458397058649256,0.015458397058649256,0.30749203694193233,0.453125,0
12,0.0011343317382852547,0.00041539166307631774,0.00010249587743077359,0.020506028203510166,1120,0.01686290947762284,0.01686290947762284,0.30953063033395084,0.453125,0
13,0.0011805595713667572,0.00043832405630573175,0.00013902450048493782,0.024898711768498342,1136,0.018269702699210334,0.018269702699210334,0.3119033107276055,0.453125,0
14,0.0012288685029488988,0.0004699561095338548,0.00018743013731964032,0.02962598109108199,1168,0.01967352524865003,0.01967352524865003,0.3146342054302653,0.453125,0
15,0.0012867942641605623,0.0004966433517910127,0.0002484728381431675,0.035471247291865786,1224,0.021074860594965876,0.021074860594965876,0.3177741891122763,0.453125,0
16,0.001343274227110669,0.0005258697931002981,0.00032296167806816073,0.04231064615094856,1280,0.022476836179282606,0.022476836179282606,0.32136082272330146,0.453125,0
17,0.0013848374292138033,0.0005602290882243717,0.000415239033556872,0.049870893718878886,1332,0.023877828614894726,0.023877828614894726,0.3254450476441966,0.484375,0
18,0.0014033890111022629,0.0005886480637161309,0.0005294982528459985,0.058735866678730694,1404,0.025280985880073593,0.025280985880073593,0.33005381365267145,0.484375,0
19,0.001417357438185718,0.0006186856030454419,0.0006602107982227232,0.06617519589999829,1444,0.026690909359198964,0.026690909359198964,0.33525041075697604,0.484375,0
20,0.0014828180283075199,0.0006645372597992871,0.0008163587120176228,0.07250031339467607,1476,0.02807897855251748,0.02807897855251748,0.34099311396704063,0.484375,0
21,0.001523031125543639,0.0007132789231210533,0.0009993644209382905,0.08044058938565353,1556,0.029482614658231272,0.029482614658231272,0.3473977309494112,0.484375,0
22,0.0015374965296359733,0.0007550860771158962,0.0011957458159340517,0.09063032430103443,1612,0.030905134037147213,0.030905134037147213,0.35446701869189096,0.515625,0
